source,source_id,relation,target,target_label,evidence
TGM6,HGNC:16255,associated_with,HP:0000006,Autosomal dominant inheritance,monarch
TGM6,HGNC:16255,associated_with,HP:0003487,Babinski sign,monarch
TGM6,HGNC:16255,associated_with,HP:0001260,Dysarthria,monarch
TGM6,HGNC:16255,associated_with,HP:0003677,Slowly progressive,monarch
TGM6,HGNC:16255,associated_with,HP:0001288,Gait disturbance,monarch
TGM6,HGNC:16255,associated_with,HP:0001347,Hyperreflexia,monarch
TGM6,HGNC:16255,associated_with,HP:0001310,Dysmetria,monarch
TGM6,HGNC:16255,associated_with,HP:0002080,Intention tremor,monarch
TGM6,HGNC:16255,associated_with,HP:0001272,Cerebellar atrophy,monarch
TGM6,HGNC:16255,associated_with,HP:0001251,Ataxia,monarch
TGM6,HGNC:16255,associated_with,HP:0010831,Impaired proprioception,monarch
TGM6,HGNC:16255,associated_with,HP:0000467,Neck muscle weakness,monarch
TGM6,HGNC:16255,associated_with,HP:0003596,Middle age onset,monarch
TGM6,HGNC:16255,associated_with,HP:0002311,Incoordination,monarch
TGM6,HGNC:16255,associated_with,HP:0002505,Loss of ambulation,monarch
TGM6,HGNC:16255,associated_with,HP:0000473,Torticollis,monarch
TGM6,HGNC:16255,associated_with,HP:0000514,Slow saccadic eye movements,monarch
TGM6,HGNC:16255,associated_with,HP:0007024,Pseudobulbar paralysis,monarch
IFNG,HGNC:5438,associated_with,HP:0003281,Increased circulating ferritin concentration,monarch
IFNG,HGNC:5438,associated_with,HP:0001894,Thrombocytosis,monarch
IFNG,HGNC:5438,associated_with,HP:0001744,Splenomegaly,monarch
IFNG,HGNC:5438,associated_with,HP:0001903,Anemia,monarch
IFNG,HGNC:5438,associated_with,HP:0012156,Hemophagocytosis,monarch
IFNG,HGNC:5438,associated_with,HP:0000007,Autosomal recessive inheritance,monarch
IFNG,HGNC:5438,associated_with,HP:0001876,Pancytopenia,monarch
IFNG,HGNC:5438,associated_with,HP:0001974,Increased total leukocyte count,monarch
IFNG,HGNC:5438,associated_with,HP:0003593,Infantile onset,monarch
IFNG,HGNC:5438,associated_with,HP:0001945,Fever,monarch
IFNG,HGNC:5438,associated_with,HP:0020086,BCGitis,monarch
IFNG,HGNC:5438,associated_with,HP:0001508,Failure to thrive,monarch
IFNG,HGNC:5438,associated_with,HP:0020087,BCGosis,monarch
IFNG,HGNC:5438,associated_with,HP:0001433,Hepatosplenomegaly,monarch
IFNG,HGNC:5438,associated_with,HP:0000988,Skin rash,monarch
IFNG,HGNC:5438,associated_with,HP:0002014,Diarrhea,monarch
HTR1A,HGNC:5286,associated_with,HP:0200067,Recurrent spontaneous abortion,monarch
HTR1A,HGNC:5286,associated_with,HP:0001945,Fever,monarch
HTR1A,HGNC:5286,associated_with,HP:0000006,Autosomal dominant inheritance,monarch
HTR1A,HGNC:5286,associated_with,HP:0002076,Migraine,monarch
HTR1A,HGNC:5286,associated_with,HP:0003118,Increased circulating cortisol level,monarch
NFKB1,HGNC:7794,associated_with,HP:0001596,Alopecia,monarch
NFKB1,HGNC:7794,associated_with,HP:0006510,Chronic pulmonary obstruction,monarch
NFKB1,HGNC:7794,associated_with,HP:0001581,Recurrent skin infections,monarch
NFKB1,HGNC:7794,associated_with,HP:0004313,Decreased circulating immunoglobulin concentration,monarch
NFKB1,HGNC:7794,associated_with,HP:0002582,Atrophic gastritis,monarch
NFKB1,HGNC:7794,associated_with,HP:0011463,Childhood onset,monarch
NFKB1,HGNC:7794,associated_with,HP:0000006,Autosomal dominant inheritance,monarch
NFKB1,HGNC:7794,associated_with,HP:0003581,Adult onset,monarch
NFKB1,HGNC:7794,associated_with,HP:0011108,Recurrent sinusitis,monarch
NFKB1,HGNC:7794,associated_with,HP:0002110,Bronchiectasis,monarch
NFKB1,HGNC:7794,associated_with,HP:0001873,Thrombocytopenia,monarch
NFKB1,HGNC:7794,associated_with,HP:0003621,Juvenile onset,monarch
