smiles,pchembl_value
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(C(F)(F)F)cc1,5.34
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12,6.0
Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.4
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1,7.21
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(F)cc1,8.42
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc(F)c1,8.05
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.43
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F,8.1
Br.Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1,6.35
Br.Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1,7.02
Br.Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12,7.77
Br.Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1,7.58
Br.Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1,7.28
Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,8.48
Br.Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1,7.35
Brc1cc2c(NCc3ccccc3)ncnc2s1,6.62
Brc1cc2c(NCc3ccccn3)ncnc2s1,5.1
Brc1cc2c(NCc3cccs3)ncnc2s1,5.86
Brc1cc2c(NCc3ccncc3)ncnc2s1,5.41
Brc1cc2c(Nc3ccccc3)ncnc2s1,7.1
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,6.15
Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,6.31
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1,5.05
Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,5.5
Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,4.869999999999999
Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,5.0
Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,7.51
Brc1cccc(Nc2ccnc3ccccc23)c1,5.26
Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,6.87
Brc1cccc(Nc2ncnc3[nH]ccc23)c1,8.43
Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,5.57
Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,5.279999999999999
Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1,7.14
Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1.Cl,7.085
Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,6.57
Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,6.13
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,7.755
Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,6.13
Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1.CO,7.4
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,8.27
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,8.72
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.29
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,8.49
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.04
Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,7.73
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,8.02
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.36
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.36
Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,8.39
Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,9.36
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,7.07
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,8.1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,7.84
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,7.26
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,7.800000000000001
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,7.800000000000001
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,8.15
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,7.82
Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,6.92
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1,7.11
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,7.8
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,7.585000000000001
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,6.72
Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,9.47
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,8.77
Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,7.36
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.19
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.6
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.62
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,8.77
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1,5.94
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,7.01
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,5.99
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,6.2
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,7.54
