canonical_smiles,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,target_organism,type,value
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,7.39,=,=,IC50,Homo sapiens,IC50,0.041
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,6.52,=,=,IC50,Homo sapiens,IC50,0.3
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,5.11,=,=,IC50,Homo sapiens,IC50,7.82
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,6.77,=,=,IC50,Homo sapiens,IC50,0.17
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,7.40,=,=,IC50,Homo sapiens,IC50,0.04
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,6.36,=,=,IC50,Homo sapiens,IC50,0.44
CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,CHEMBL137635,5.03,=,=,IC50,Homo sapiens,IC50,9.3
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],CHEMBL77085,4.02,=,=,IC50,Homo sapiens,IC50,96.0
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],CHEMBL77085,4.62,=,=,Ki,Homo sapiens,Ki,24.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL443268,5.28,=,=,IC50,Homo sapiens,IC50,5.31
